Epsiode Cummulative Reward: 889.9253640174866, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 379.47760903835297, Episode Timestpes: 1207,
Epsiode Cummulative Reward: 418.0970124602318, Episode Timestpes: 631,
Epsiode Cummulative Reward: -2.5033950805664062e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.2516975402832031e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -9.357929229736328e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -2.980232238769531e-07, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2.8073787689208984e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -3.516674041748047e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 3.337860107421875e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -1.7881393432617188e-07, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 3.3578970432281494, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 9.298324584960938e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6.139278411865234e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 80.5970202088356, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 716.9776036739349, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 88.9925394654274, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 277.8917852640152, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 107.45267474651337, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1168.547662138939, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4.76837158203125e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.839556872844696, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 259.421639919281, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4.589557647705078e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2.0265579223632812e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2.980232238769531e-07, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -1.1920928955078125e-07, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -3.5762786865234375e-07, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 5.876870572566986, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 554.104473054409, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 549.8554319143295, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2781.436536490917, Episode Timestpes: 4361,
Epsiode Cummulative Reward: 416.4179084300995, Episode Timestpes: 2940,
Epsiode Cummulative Reward: -2.1457672119140625e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 387.0335781574249, Episode Timestpes: 1352,
Epsiode Cummulative Reward: 565.8582062125206, Episode Timestpes: 583,
Epsiode Cummulative Reward: 759.7947589755058, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 731.2499901652336, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1674.9067004323006, Episode Timestpes: 3240,
Epsiode Cummulative Reward: 1173.6940085291862, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2197.9477398991585, Episode Timestpes: 2246,
Epsiode Cummulative Reward: 65.47894901037216, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 36.10073035955429, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1207.2761033773422, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 105.77371037006378, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1171.1753500699997, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1649.7201184630394, Episode Timestpes: 4365,
Epsiode Cummulative Reward: 1683.3022278547287, Episode Timestpes: 2176,
Epsiode Cummulative Reward: 1648.0410287380219, Episode Timestpes: 1797,
Epsiode Cummulative Reward: 1646.3619239330292, Episode Timestpes: 1803,
Epsiode Cummulative Reward: 894.9626643061638, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1080.5037094950676, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 659.8880435228348, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 406.3432743549347, Episode Timestpes: 1994,
Epsiode Cummulative Reward: 2148.4141575098038, Episode Timestpes: 3890,
Epsiode Cummulative Reward: 2086.092694938183, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 549.9066950082779, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1037.6865646243095, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 420.6156688928604, Episode Timestpes: 439,
Epsiode Cummulative Reward: 2206.343274831772, Episode Timestpes: 4235,
Epsiode Cummulative Reward: 88.99252325296402, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 366.8843275308609, Episode Timestpes: 979,
Epsiode Cummulative Reward: 741.25547260046, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2240.764901995659, Episode Timestpes: 3479,
Epsiode Cummulative Reward: 1145.8819032907486, Episode Timestpes: 3815,
Epsiode Cummulative Reward: 705.2238690257072, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -1.1324882507324219e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 721.1753635406494, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 387.0335571169853, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1213.0398045778275, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2229.6427194476128, Episode Timestpes: 1454,
Epsiode Cummulative Reward: 1162.7798199653625, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 838.634428858757, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 900.8395349383354, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1142.6305676102638, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 3003.91787648201, Episode Timestpes: 3353,
Epsiode Cummulative Reward: 1652.9241361021996, Episode Timestpes: 1886,
Epsiode Cummulative Reward: 1183.7686375975609, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2192.7058733701706, Episode Timestpes: 2571,
Epsiode Cummulative Reward: 3074.440249621868, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -2.2649765014648438e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6.258487701416016e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6.616115570068359e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 254.36059617996216, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 737.966387629509, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 774.0671422481537, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 866.4178888201714, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1077.1455093622208, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -2.1457672119140625e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1039.3656540513039, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -4.172325134277344e-07, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 371.92164516448975, Episode Timestpes: 4262,
Epsiode Cummulative Reward: 741.3246160149574, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 836.1940205693245, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -2.86102294921875e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.0073184967041016e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 8.940696716308594e-07, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 5.602836608886719e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2.8014183044433594e-06, Episode Timestpes: 4500,
