Epsiode Cummulative Reward: 3013.992469906807, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2796.548473715782, Episode Timestpes: 785,
Epsiode Cummulative Reward: 1763.8992345929146, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2165.2052064538, Episode Timestpes: 3097,
Epsiode Cummulative Reward: 2123.8690453767776, Episode Timestpes: 827,
Epsiode Cummulative Reward: 2118.190279185772, Episode Timestpes: 458,
Epsiode Cummulative Reward: 2226.2848700881004, Episode Timestpes: 566,
Epsiode Cummulative Reward: 2111.4738544225693, Episode Timestpes: 418,
Epsiode Cummulative Reward: 2187.8731021285057, Episode Timestpes: 1147,
Epsiode Cummulative Reward: 2156.809675037861, Episode Timestpes: 362,
Epsiode Cummulative Reward: 2243.2835575938225, Episode Timestpes: 343,
Epsiode Cummulative Reward: 1636.2872920632362, Episode Timestpes: 499,
Epsiode Cummulative Reward: 1676.5857979655266, Episode Timestpes: 340,
Epsiode Cummulative Reward: 2778.0783421993256, Episode Timestpes: 1300,
Epsiode Cummulative Reward: 863.0596787929535, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.8477439880371094e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.6689300537109375e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 542.3507400751114, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2111.4738439917564, Episode Timestpes: 1876,
Epsiode Cummulative Reward: 2161.0074187517166, Episode Timestpes: 1190,
Epsiode Cummulative Reward: 2598.414147078991, Episode Timestpes: 610,
Epsiode Cummulative Reward: 1648.04102987051, Episode Timestpes: 211,
Epsiode Cummulative Reward: 4275.839503228664, Episode Timestpes: 1978,
Epsiode Cummulative Reward: 7195.802172064781, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4226.305927872658, Episode Timestpes: 1158,
Epsiode Cummulative Reward: 2239.925342142582, Episode Timestpes: 867,
Epsiode Cummulative Reward: 2.518656075000763, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -3.3974647521972656e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1653.9178960323334, Episode Timestpes: 4220,
Epsiode Cummulative Reward: 2225.652957201004, Episode Timestpes: 4179,
Epsiode Cummulative Reward: 1271.9216197133064, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1040.2052117586136, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -3.874301910400391e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 5023.88053715229, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 5656.902904868126, Episode Timestpes: 2329,
Epsiode Cummulative Reward: 5666.977533757687, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2796.548487484455, Episode Timestpes: 910,
Epsiode Cummulative Reward: 2768.8432460427284, Episode Timestpes: 568,
Epsiode Cummulative Reward: 1637.1268332004547, Episode Timestpes: 1800,
Epsiode Cummulative Reward: 1867.1641654372215, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2218.936536490917, Episode Timestpes: 3838,
Epsiode Cummulative Reward: 1659.6399307847023, Episode Timestpes: 2099,
Epsiode Cummulative Reward: 1681.6231061816216, Episode Timestpes: 1795,
Epsiode Cummulative Reward: 6.735324859619141e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.1444091796875e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 446.6417837738991, Episode Timestpes: 1090,
