Epsiode Cummulative Reward: 669.9626644253731, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2211.3805539608, Episode Timestpes: 3020,
Epsiode Cummulative Reward: 361.00745886564255, Episode Timestpes: 61,
Epsiode Cummulative Reward: 444.1231321692467, Episode Timestpes: 536,
Epsiode Cummulative Reward: 600.2798417210579, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 3.2782554626464844e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 98.21843785047531, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -1.9669532775878906e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1643.8432779312134, Episode Timestpes: 1909,
Epsiode Cummulative Reward: -1.2218952178955078e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 48.69402605295181, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2212.0137763023376, Episode Timestpes: 3576,
Epsiode Cummulative Reward: 2332.2761016488075, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 37.77985239028931, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1043.5634139180183, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1685.6636368632317, Episode Timestpes: 3328,
Epsiode Cummulative Reward: 741.2554529309273, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 83.95522302389145, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1209.7947663664818, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 8.463859558105469e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 873.8923179507256, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2967.8171538710594, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1159.4216259121895, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 469.26591807603836, Episode Timestpes: 1411,
Epsiode Cummulative Reward: 549.9067048430443, Episode Timestpes: 2641,
Epsiode Cummulative Reward: 110.82088929414749, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 408.0223850607872, Episode Timestpes: 2817,
Epsiode Cummulative Reward: 726.212659239769, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1357.5559523701668, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 104.94402331113815, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 3.993511199951172e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 335.8208953142166, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1685.8208854198456, Episode Timestpes: 2724,
Epsiode Cummulative Reward: -9.5367431640625e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2223.134298324585, Episode Timestpes: 4416,
Epsiode Cummulative Reward: 342.5373101234436, Episode Timestpes: 3057,
Epsiode Cummulative Reward: 1668.8741466999054, Episode Timestpes: 4174,
Epsiode Cummulative Reward: 2359.1417644023895, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2206.343259036541, Episode Timestpes: 1607,
Epsiode Cummulative Reward: 1155.223866701126, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 940.2984964251518, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -1.5795230865478516e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1643.8432712554932, Episode Timestpes: 1028,
Epsiode Cummulative Reward: 485.2611870765686, Episode Timestpes: 1150,
Epsiode Cummulative Reward: 2790.6716146469116, Episode Timestpes: 3696,
Epsiode Cummulative Reward: 6.716410875320435, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -3.039836883544922e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1611.1007311940193, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 818.5634315609932, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 891.6044715642929, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1685.6635965704918, Episode Timestpes: 3707,
Epsiode Cummulative Reward: 88.15297967195511, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 678.3581880927086, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 690.0475563406944, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 296.3342641592026, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 17.630597829818726, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1238.3395376205444, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 690.8870415091515, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2207.182814359665, Episode Timestpes: 4488,
Epsiode Cummulative Reward: 2129.1044492721558, Episode Timestpes: 3673,
Epsiode Cummulative Reward: 247.64480531215668, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1687.4999859929085, Episode Timestpes: 2275,
Epsiode Cummulative Reward: 308.1156657934189, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 675.8395494222641, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -4.762411117553711e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 291.32460737228394, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1190.4850652813911, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2202.1455140709877, Episode Timestpes: 3509,
Epsiode Cummulative Reward: 110.81053221225739, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 83.955217897892, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 241.791035592556, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 467.63059866428375, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -1.4066696166992188e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 127.61194199323654, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 707.7425267696381, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 87.31342673301697, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -2.9742717742919922e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2200.2611426711082, Episode Timestpes: 1982,
Epsiode Cummulative Reward: 701.8656644821167, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1682.4626853466034, Episode Timestpes: 4206,
Epsiode Cummulative Reward: 815.2052021622658, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1370.1492276787758, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 801.7723744511604, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 927.7052013874054, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -4.231929779052734e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2841.8842852711678, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 732.9290792346001, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 720.3358044624329, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 68.00373035669327, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -3.337860107421875e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 773.2275966405869, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 618.7499845027924, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2794.86937892437, Episode Timestpes: 1350,
Epsiode Cummulative Reward: 1640.485057592392, Episode Timestpes: 573,
Epsiode Cummulative Reward: 1003.2649075984955, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2792.3507224321365, Episode Timestpes: 4034,
Epsiode Cummulative Reward: 2761.2873033881187, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 549.8554007411003, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 737.126855134964, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -3.2186508178710938e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 391.1948279738426, Episode Timestpes: 2312,
Epsiode Cummulative Reward: 1678.2649093866348, Episode Timestpes: 1582,
Epsiode Cummulative Reward: 982.2761051058769, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1046.9215877652168, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 3723.414136469364, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1638.80595600605, Episode Timestpes: 4320,
Epsiode Cummulative Reward: 2779.7574356794357, Episode Timestpes: 3220,
Epsiode Cummulative Reward: 2076.2126680016518, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 232.55596333742142, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2587.4999716877937, Episode Timestpes: 4500,
